date,school_holiday,summer
2023/8/4,FALSE,FALSE
2023/8/5,FALSE,FALSE
2023/8/5,FALSE,FALSE
2023/8/6,FALSE,FALSE
2023/8/6,FALSE,FALSE
2023/8/7,FALSE,FALSE
2023/8/7,FALSE,FALSE
2023/8/8,FALSE,FALSE
2023/8/8,FALSE,FALSE
2023/8/9,FALSE,FALSE
2023/8/9,FALSE,FALSE
2023/8/10,FALSE,FALSE
2023/8/10,FALSE,FALSE
2023/8/11,FALSE,FALSE
2023/8/11,FALSE,FALSE
2023/8/12,FALSE,FALSE
2023/8/12,FALSE,FALSE
2023/8/13,FALSE,FALSE
2023/8/13,FALSE,FALSE
2023/8/14,FALSE,FALSE
2023/8/14,FALSE,FALSE
2023/8/15,FALSE,FALSE
2023/8/15,FALSE,FALSE
2023/8/16,FALSE,FALSE
2023/8/16,FALSE,FALSE
2023/8/17,FALSE,FALSE
2023/8/17,FALSE,FALSE
2023/8/18,FALSE,FALSE
2023/8/18,FALSE,FALSE
2023/8/19,FALSE,FALSE
2023/8/19,FALSE,FALSE
2023/8/20,FALSE,FALSE
2023/8/20,FALSE,FALSE
2023/8/21,FALSE,FALSE
2023/8/21,FALSE,FALSE
2023/8/22,FALSE,FALSE
2023/8/22,FALSE,FALSE
2023/8/23,FALSE,FALSE
2023/8/23,FALSE,FALSE
2023/8/24,FALSE,FALSE
2023/8/24,FALSE,FALSE
2023/8/25,FALSE,FALSE
2023/8/25,FALSE,FALSE
2023/8/26,FALSE,FALSE
2023/8/26,FALSE,FALSE
2023/8/27,FALSE,FALSE
2023/8/27,FALSE,FALSE
2023/8/28,FALSE,FALSE
2023/8/28,FALSE,FALSE
2023/8/29,FALSE,FALSE
2023/8/29,FALSE,FALSE
2023/8/30,FALSE,FALSE
2023/8/30,FALSE,FALSE
2023/8/31,FALSE,FALSE
2023/8/31,FALSE,FALSE
2023/9/1,FALSE,FALSE
2023/9/1,FALSE,FALSE
2023/9/2,FALSE,FALSE
2023/9/2,FALSE,FALSE
2023/9/3,FALSE,FALSE
2023/9/3,FALSE,FALSE
2023/9/4,FALSE,FALSE
2023/9/4,FALSE,FALSE
2023/9/5,FALSE,FALSE
2023/9/5,FALSE,FALSE
2023/9/6,FALSE,FALSE
2023/9/6,FALSE,FALSE
2023/9/7,FALSE,FALSE
2023/9/7,FALSE,FALSE
2023/9/8,FALSE,FALSE
2023/9/8,FALSE,FALSE
2023/9/9,FALSE,FALSE
2023/9/9,FALSE,FALSE
2023/9/10,FALSE,FALSE
2023/9/10,FALSE,FALSE
2023/9/11,FALSE,FALSE
2023/9/11,FALSE,FALSE
2023/9/12,FALSE,FALSE
2023/9/12,FALSE,FALSE
2023/9/13,FALSE,FALSE
2023/9/13,FALSE,FALSE
2023/9/14,FALSE,FALSE
2023/9/14,FALSE,FALSE
2023/9/15,FALSE,FALSE
2023/9/15,FALSE,FALSE
2023/9/16,TRUE,FALSE
2023/9/16,TRUE,FALSE
2023/9/17,TRUE,FALSE
2023/9/17,TRUE,FALSE
2023/9/18,TRUE,FALSE
2023/9/18,TRUE,FALSE
2023/9/19,TRUE,FALSE
2023/9/19,TRUE,FALSE
2023/9/20,TRUE,FALSE
2023/9/20,TRUE,FALSE
2023/9/21,TRUE,FALSE
2023/9/21,TRUE,FALSE
2023/9/22,TRUE,FALSE
2023/9/22,TRUE,FALSE
2023/9/23,TRUE,FALSE
2023/9/23,TRUE,FALSE
2023/9/24,TRUE,FALSE
2023/9/24,TRUE,FALSE
2023/9/25,TRUE,FALSE
2023/9/25,TRUE,FALSE
2023/9/26,TRUE,FALSE
2023/9/26,TRUE,FALSE
2023/9/27,TRUE,FALSE
2023/9/27,TRUE,FALSE
2023/9/28,TRUE,FALSE
2023/9/28,TRUE,FALSE
2023/9/29,TRUE,FALSE
2023/9/29,TRUE,FALSE
2023/9/30,TRUE,FALSE
2023/9/30,TRUE,FALSE
2023/10/1,TRUE,FALSE
2023/10/1,TRUE,FALSE
2023/10/2,FALSE,FALSE
2023/10/2,FALSE,FALSE
2023/10/3,FALSE,FALSE
2023/10/3,FALSE,FALSE
2023/10/4,FALSE,FALSE
2023/10/4,FALSE,FALSE
2023/10/5,FALSE,FALSE
2023/10/5,FALSE,FALSE
2023/10/6,FALSE,FALSE
2023/10/6,FALSE,FALSE
2023/10/7,FALSE,FALSE
2023/10/7,FALSE,FALSE
2023/10/8,FALSE,FALSE
2023/10/8,FALSE,FALSE
2023/10/9,FALSE,FALSE
2023/10/9,FALSE,FALSE
2023/10/10,FALSE,FALSE
2023/10/10,FALSE,FALSE
2023/10/11,FALSE,FALSE
2023/10/11,FALSE,FALSE
2023/10/12,FALSE,FALSE
2023/10/12,FALSE,FALSE
2023/10/13,FALSE,FALSE
2023/10/13,FALSE,FALSE
2023/10/14,FALSE,FALSE
2023/10/14,FALSE,FALSE
2023/10/15,FALSE,FALSE
2023/10/15,FALSE,FALSE
2023/10/16,FALSE,FALSE
2023/10/16,FALSE,FALSE
2023/10/17,FALSE,FALSE
2023/10/17,FALSE,FALSE
2023/10/18,FALSE,FALSE
2023/10/18,FALSE,FALSE
2023/10/19,FALSE,FALSE
2023/10/19,FALSE,FALSE
2023/10/20,FALSE,FALSE
2023/10/20,FALSE,FALSE
2023/10/21,FALSE,FALSE
2023/10/21,FALSE,FALSE
2023/10/22,FALSE,FALSE
2023/10/22,FALSE,FALSE
2023/10/23,FALSE,FALSE
2023/10/23,FALSE,FALSE
2023/10/24,FALSE,FALSE
2023/10/24,FALSE,FALSE
2023/10/25,FALSE,FALSE
2023/10/25,FALSE,FALSE
2023/10/26,FALSE,FALSE
2023/10/26,FALSE,FALSE
2023/10/27,FALSE,FALSE
2023/10/27,FALSE,FALSE
